DATES,LIP,LCPI,MP1_TC,FF4_TC,GS1,EBP
1993.916667,4.230099938,4.985659308,0.0123093,-0.0032258,3.61,-0.1999
1994,4.233767317,4.985659308,0,-0.0067742,3.54,-0.2694
1994.083333,4.234034038,4.988389685,0.1458303,0,3.87,-0.46
1994.166667,4.244319392,4.991112628,0.0174965,0,4.32,-0.352
1994.25,4.249573232,4.991792206,0.0649976,0.052,4.82,-0.3216
1994.333333,4.254996917,4.993828176,0.1385798,0.0921935,5.31,-0.3215
1994.416667,4.261480567,4.99653637,0.0571458,0.0258064,5.27,-0.3661
1994.5,4.263267029,4.999911331,-0.0416,0,5.48,-0.3252
1994.583333,4.268800544,5.003946306,0.0559949,0,5.56,-0.2977
1994.666667,4.272559086,5.005957705,0.0479952,-0.0039999,5.76,-0.4307
1994.75,4.281229303,5.006627273,-0.0780001,-0.026,6.11,-0.328
1994.833333,4.287460428,5.009301071,0.064,0.0426667,6.54,-0.3049
1994.916667,4.297987201,5.011301739,-0.0312749,0.0179784,7.14,-0.2541
1995,4.30007471,5.013963084,-0.1381851,-0.0306451,7.05,-0.2736
1995.083333,4.298889561,5.016617366,0.06223,0,6.70,-0.327
1995.166667,4.300571159,5.018603464,-0.0012903,0.0025806,6.43,-0.3297
1995.25,4.300236151,5.022563865,-0.0087097,0.0174193,6.27,-0.2596
1995.333333,4.303210674,5.024538199,0.00000286,0,6.00,-0.4011
1995.416667,4.306865223,5.026508643,0.00000715,0,5.64,-0.1863
1995.5,4.302858961,5.027820119,-0.0936,-0.1258065,5.59,-0.3464
1995.583333,4.315563596,5.029784113,-0.0068935,-0.0241935,5.75,-0.2483
1995.666667,4.319599217,5.031091303,0.0283252,0.005,5.62,-0.2066
1995.75,4.318241163,5.033700567,0.0250083,0.025,5.59,-0.1775
1995.833333,4.320750785,5.035002651,0.0213281,0,5.43,-0.0941
1995.916667,4.324566999,5.036303041,-0.0192519,-0.0209677,5.31,-0.0863
1996,4.317987989,5.041487758,-0.0534642,-0.0296774,5.09,-0.1154
1996.083333,4.333522867,5.043425117,-0.0290419,-0.0193548,4.94,-0.3302
1996.166667,4.332221706,5.046645732,0.0019355,0.0019336,5.34,-0.3411
1996.25,4.341035355,5.050496828,0.0080645,0.0080564,5.54,-0.2953
1996.333333,4.348295327,5.052416828,-0.00000358,0,5.64,-0.3287
1996.416667,4.356721647,5.054333149,-0.00000644,0,5.81,-0.305
1996.5,4.354934176,5.056245805,-0.0673268,-0.0280645,5.85,-0.3737
1996.583333,4.360774908,5.05751888,-0.0155555,-0.0019355,5.67,-0.4376
