0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.932,1,1,2,1,1,8,8,8,8,8,8,5,5,5,5,5,8,8,8,8,8
0.931,1,1,2,1,1,8,8,8,8,8,8,5,5,5,5,5,8,8,8,8,8
0.93,1,1,2,1,1,8,8,8,8,8,8,5,5,5,5,5,8,8,8,8,8
0.929,1,1,2,1,1,8,8,8,8,8,8,5,5,5,5,5,8,8,8,8,8
0.928,1,1,2,1,1,8,8,8,8,8,8,5,5,5,5,5,8,8,8,8,8
0.927,1,1,2,2,1,8,8,8,8,8,8,8,5,5,5,5,8,8,8,8,8
0.926,1,1,2,2,1,8,8,8,8,8,8,8,5,5,5,5,8,8,8,8,8
0.925,1,1,2,2,1,8,8,8,8,8,8,8,5,5,5,5,8,8,8,8,8
0.924,1,1,2,2,1,8,8,8,8,8,8,8,5,5,5,5,8,8,8,8,8
0.923,1,1,2,2,1,8,8,8,8,8,8,8,5,5,5,5,8,8,8,8,8
0.922,1,1,2,2,1,8,8,8,8,8,8,8,5,5,5,5,8,8,8,8,8
0.921,1,1,2,2,1,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,8
0.92,1,1,2,2,1,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,8
0.919,1,1,2,2,1,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,8
0.918,1,1,2,2,1,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,8
0.917,1,1,2,2,1,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,8
0.916,1,1,2,2,1,8,8,8,8,8,8,8,8,5,8,8,8,8,8,8,8
0.915,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.914,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.913,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.912,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.911,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.91,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.909,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.908,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.907,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.906,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.905,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.904,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.903,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.902,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.901,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.9,1,1,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.899,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.898,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.897,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.896,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.895,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.894,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.893,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.892,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.891,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.89,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.889,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.888,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.887,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.886,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.885,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.884,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.883,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.882,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.881,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.88,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.879,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.878,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.877,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.876,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.875,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.874,1,2,2,2,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
